Slide No (LS .No.),State,District,Toposheet,Name of the slide,NH/SH/Locality,Latitude,Longitude,Length(m),Width(m),Height(m),Area(m2),Depth(m),Volume(m3),Run out distance,Type of Material,Type of movement,Rate of movement,Activity,Distribution,Style,Failure mechanism,History,Geomorphology,Geology,Structure,Land use/ Land cover,Hydrological condition,Triggering Factor,Death of persons,People affected,Live-stock loss,Communication,Infrastructure,Agriculture/forest/Barren land,Causes,Remedial,Rainfall 24hr,Landslide category,Terrain slope,,
KA/KOD/48P07/2020/01,Karnataka,Kodagu,48P/07,Talacauvery slide,Brahmagiri hills near Bhagamandala,"12° 23' 10.94"" N","75° 29' 37.00"" E",160,50,45,8000,5,3600,2000,Debris,Slide,Extremely rapid,Active,Retrogressive and Widening,Single,Deep planar failure,Yes,Lowly dissected hill slope,Charnockite,"Foliations trending WNW,  dipping","Bushes and sparse vegetation on upslope, while mid slope is modified by road cut and settlements.",Flowing,Intense and (or) sustained rainfall lead to the saturation of slopes and increased groundwater levels within the mass.,5,,7,Approach road to Talacauvery temple is partly damaged.,3,Part of forest land is damaged,"Anthropogenic activities
Ground crack and forest trenches
Heavy rainfall
Increase in pore pressure","Drainage
retaining wall
crack fills
slope grading",478,1,44,,
TN/EMD/58A11/2020/01,Tanmil Nadu,Niulgiri,58A/11,Emarald TNEB slide,"TNEB colony, Emarald, Kundah",11.320817,76.625373,10,90,7,80,2,100,200,Earth/ soil,Flow,Moderate,Suspended,Enlarging,Complex,Shallow rotational,Yes,Moderately dissected slope,Charnockite,Indistinct ,"Settlement, fallow land ",Wet,Heavy rainfall,0,0,0,Cracks developed in approach road to the top of the slide,4,Agriculture,"Heavy rainfall
Anthropogenic activity ","retaining wall with weep holes
 lined toe drainage
benching of the slopes",346,2,47,,
KE/IDK/58F04/2020/01,Kerala,Idukki,58 F/04,Pettimudi,Eravikulam-KDH-Idamalakudi road,10.171695°N,77.011305°E,205,30,125,6150,3,18450,840,Debris,Flow,Extremely rapid,Suspended,Retrogressive,Complex,Shallow translational (≤ 5m) failure,No,Moderately  dissected  slope.  Landslide  occurred  in  the  southern,Granite / Migmatite gneiss,Causal plane dip about 57º towards N 88º.,Forest area. The slide initiated from the forest area and the distressed material discharged through tea plantation located at the downslope.,Wet,Heavy Rainfall,66,82,,Road and transmission lines damaged.,4,Settlement area with tea plantation,"Heavy rainfall
Increase in pore pressure",proper drainage,242.6,1,44,,
Manipur/Noney/83H09/2020/001,Manipur,Noney,83H/09,Longmai Slide,NH-37(Imphal-Jiribam road)/ Longmai,24°51‘ 19.3‘‘ N,93°37‘ 26.5‘‘ E,85,60,45,,,,5,Debris,Slide,Slow,Active,Enlarging,Complex,shallow planar failure,No,Moderately  dissected  slope.  Landslide  occurred  in  the  southern,Intercalated shale,Indistinct ,settlement and sparse vegetation,flow ,construction,0,0,0,road  ,0,Settlement area with tea plantation,"Construction
waterr seepage","modification of slope with benches
sealing of cracks
retaining wall",300,2,40,,
Manipur/Senapati/83K02/2020/002,Manipur,Senapati,83K/02,Song-Song Village (Mao Gate),"NH-2(Imphal-Dimapur road), Mao gate town",25°30ˊ57.3ˊˊ,94°08ˊ11.5ˊˊ,85,104,82,,,,,Debris,Rotational,Slow,Active,Retrogressive,Complex,Shallow rotational failure,Yes,highly dissected  slope.,Disang and Barial group of rocks,,commercial buildings,flow ,rainfall,0,0,0,road,,Agriculture,inherent geological problems,,250,2,47,,
83E/12/2020/02,Arunachal Pradesh,Papum Pare,83 E/12,Tigdo Slide,"Yupia  Potin Road, about 4 km from Doimukh 
 town.","27° 08'4.9""","93° 44' 36.5""",7,16,10,112,2.5,280,22,Debris,Translation ,rapid,Active,Confined,Single,Translation,No,Rugged terrain with 38° slope,"Sand silt and clay alluvium over sedimentary 
 rocks of Kimin Formation of Upper Siwalik rocks","NESW strike dipping toward NW. Slope angle 
 38°",Human settlement and sparsely vegetated.,Wet,"Heavy rainfall and improper high angle slope 
 cutting",4,6,0,road,1,Sparsely vegetated,"Over saturation of debris slope forming 
 material and steep slope angle","Proper management of slope angle, drainage 
 system for slope stability",200,2,45,,
ARN/Papumpare/83E12/2020/01,Arunachal Pradesh,Papum Pare,83 E/12,Donyi Slide,"Near Jollang Road, 2.5 km east of Itanagar City","27° 04'52.7""","93° 36' 46.2""",10,6,15,60,1.5,90,20,Debris,Translation (Debris flow),rapid,Active,Confined,Single,Translation,No,Rugged terrain with 48Â° slope,"Sand silt and clay -alluvium over immature sedimentary rocks of 
 Kimin Formation of Upper Siwalik rocks",NE-SW strike dipping toward NW. Slope angle 48Â°,Human settlement and sparsely vegetated.,Wet,Heavy rainfall and improper construction practice along high slope,1,4,0,road,0,Sparsely vegetated with open bamboo scrub,Over-saturation of debris slope forming material and slope,"Proper management of drainage system such as construction of 
 contour and lined drainage to improve run off for slope stability and 
 proper slope management.",260,3,48,,
ASM/CHR/83H01/2020/001,Assam,Cachar,83 H/1,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur","N 24°55'15.5""/ 24.92097 (Datum: WGS 1984)","E 93°4'23""/ 93.07306 (Datum: WGS 1984)",60,15,40,900,2,1800,30,Soil,Slide,Very rapid,Active,Retrogressive,Single,Shallow translational,No,Lowly dissected hill slope,Intercalation of highly weathered siltstone and clay of Bokabil Formation (Surma Group of rocks),Indistinct,Settlement with minor cut slope/ Sparse vegetation,Wet,Incessant and heavy rainfall ,7,8,3,Nil,1,Forested," 1. Geologically 
 the area 
 is characterized by highly weathered, 
 friable siltstone and clay. 
 2. Noncohesive overburden material comprising of sandy in-situ
Hill slope dissected by first order streams leading to erosion
","1. Channeling of streams/ natural drainages on upslope portion, and
systematic diversion of surface water away from the affected
slope face.
2. Construction of lined hillside drainage system for proper
disposal of water.
3. Slope benching/ slope easing may be implemented.
4. Covering the excavated slope by tarpaulin sheet during rainy
season to avoid excessive water percolation.
5. Vetiver grass system is also suggested for strengthening the
vulnerable slopes and preventing erosion.",117,2,40,,Link
ASM/CHR/83D14/2020/0002,Assam,Cachar,83 D/14,Govindanagar Slide,"Govindanagar Pt. II, Sonai","N 24Â°43'18.9""/ 24.72192 (Datum: WGS 1984)","E 92Â°54'13.7""/ 92.90381 (Datum: WGS 1984)",25,30,20,750,3,2250,6,Debris,Slide,Very rapid,Reactivated,Enlarging,Multiple,Shallow translational,Frequent,Lowly dissected hill slope,"Highly weathered sandstone with minor clay and thick conglomerate capping. 
 Conglomerate is polymictic in nature with clasts size ranging from few mm to 15 
 cm. Conglomerate is characterized by ferruginous matrix with sandstone and 
 quartz clasts. This scattered outcrop of Tipam Sandstone Formation is found as 
 an inlier in Quaternary sediments.",NA,Settlement with cut slope/ Sparse vegetation,Wet,Incessant and heavy rainfall ,0,0,0,Nil,Nil,Forested,"The following geo-scientific causes were observed: 
 1. Unplanned modification of natural slope/ removal of toe portion of the slope 
 for house construction. 
 2. Load of thick conglomerate body resting on weak slope.
Non–cohesive overburden material/ regolith thickness of >5 m.
4. Over-saturation of weak slope forming material and increase in local pore
water pressure","1. Diversion of surface water from the upslope portion away from the affected
slope face.
2. Construction of lined hillside drainage system for proper waste water
management.
3. Removal of precariously hanging trees on the crown should be removed.
4. The detached boulders of conglomerate should be removed in planned way
as it has the tendency to slide down during rain and damage the
structure/property in the down slope areas.
5. The distance between the toe of the cut slope and the house is only 1.5 m.
A strong retaining wall with proper backfilling with self-draining material
with adequate number of weep holes to release the pore water pressure
may be constructed in order to reduce the impact of the landslide
6. Slope easing at the crown portion may also be considered.
7. In the future, construction of the houses should be avoided at the toe of
vulnerable slope and the encroachment of the nala / bank should not be
done. Seasonal nalas should be allowed to flow freely.
8. Modification of slope by providing stable slope angle and benches may also
be considered",72,2,40,,Link
ASM/HLK/83D10/2020/003,Assam,Hailakandi,83 D/10,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi Circle.","N 24Â°42'13.1""/24.70364(Datum: WGS 1984)","E 92Â°38'48.5"" /92.64681(Datum: WGS 1984)",30,15,25,450,1,450,6,Debris,Slide,Very rapid,Active,Advancing,Single,Shallow translational,No,Moderately dissected hill slope,"The affected zone comprises of overburden of sandy insitu soil, 
 highly weathered sandstone and clay bed. Sandstone is coarse 
 grained, moderately 
 sorted, 
 sub matured 
 sandstone. 
 The 
 composition of minerals is quartz, feldspar and clay particles. As 
 per regional geology it is a part of Tipam sandstone Formation of 
 Tipam Group.",,"Settlement with 
 cut 
 slope/ High 
 height 
 plantation 
 (Rubber 
 plantation) 
 towards upslope 
 from 
 the mid slope portion and 
 moderate vegetation towards down slope. Paddy fields and fish 
 ponds are in the valley portion of the slope.",Wet,Rainfall,5,2,0,Nil,1,n Moderately forested,"1. Lose of toe support due to unscientific slope modification for
unplanned construction of house over unstable slope.
2. Steep natural slope angle of about 43º SW
3. Unfavorable orientation of bedding.
4. The affected slope comprises of weak lithology; highly
weathered sandstone (W3) and clay.
5. Reduction of strength of slope forming material on oversaturation due to rainfall
6. Presence of 1st order stream in the vicinity of the affected slope","1. Modification of the general slope angle by slope dressing.
2. Removal of precariously hanging trees at the crown portion
and slope face to shed the static load.
3. Construction of reinforced concrete retaining wall at the toe of
slope.
4. Covering the vulnerable slope by geosynthetics/ geotextile to
reduce water percolation into the affected slope.
5. Revegetation of the affected area with vetiver grass may be
considered to bind the soil with its root system.",60,2,43,,Link
